Category,SSIM_LSB,NC_JPEG_LSB,NC_Resize_LSB,SSIM_DFT,NC_JPEG_DFT,NC_Resize_DFT,SSIM_Hybrid,NC_JPEG_Hybrid,NC_Resize_Hybrid
butterfly,0.999999581946899,0.0,0.59375,0.9974003077391657,0.6875,0.0,0.997400054023787,0.6875,0.59375
camera,0.9999996438828894,0.0,0.53125,0.9973104236873287,0.71875,0.5,0.997310413487191,0.71875,0.625
cannon,0.9999998879243454,0.53125,0.5,0.9979208539395861,0.78125,0.515625,0.9979207273182837,0.78125,0.515625
car_side,0.9999996877918281,0.5,0.515625,0.9982730345678936,0.6875,0.475,0.998272884731514,0.6875,0.578125
ceiling_fan,0.9999997173165542,0.4375,0.5,0.9972823451320558,0.75,0.609375,0.9972820140626807,0.75,0.609375
cellphone,0.9999994101227608,0.0,0.0,0.9975685679111752,0.71875,0.484375,0.997567978033936,0.71875,0.484375
chair,0.9999996088233495,0.0,0.546875,0.997686292756801,0.65625,0.578125,0.9976857422254437,0.65625,0.578125
chandelier,0.9999996436828972,0.0,0.5625,0.9974808945368212,0.75,0.515625,0.9974808910214186,0.75,0.625
cougar_body,0.999999930835271,0.5625,0.609375,0.9988321896897764,0.671875,0.4375,0.9988321260152426,0.671875,0.546875
cougar_face,0.9999999448660383,0.515625,0.515625,0.9982801375613907,0.71875,0.0,0.9982800779537967,0.71875,0.609375
crab,0.9999994101227608,0.0,0.0,0.9979697853013071,0.765625,0.546875,0.997969195424068,0.765625,0.546875
crayfish,0.9999994101227608,0.0,0.0,0.9983531852140277,0.765625,0.609375,0.9983525953367888,0.765625,0.609375
crocodile,0.9999999142469825,0.484375,0.609375,0.9993469954466456,0.8125,0.484375,0.9993469053518094,0.8125,0.484375
crocodile_head,0.9999999827583907,0.390625,0.5625,0.9993790138296538,0.71875,0.53125,0.9993789905924197,0.75,0.53125
cup,0.9999996441264576,0.0,0.5625,0.9970649222518321,0.640625,0.0,0.9970649269880589,0.640625,0.65625
dalmatian,0.9999996131382919,0.0,0.578125,0.9976052322919233,0.6875,0.53125,0.9976050751527915,0.6875,0.5625
dollar_bill,0.9999998119695014,0.453125,0.4375,0.998600611143544,0.765625,0.578125,0.9986003361449889,0.765625,0.578125
dolphin,0.9999994101227608,0.0,0.0,0.9982479375856858,0.75,0.65625,0.9982473477084468,0.75,0.65625
dragonfly,0.999999644061013,0.0,0.5625,0.9979164914495849,0.8125,0.453125,0.9979164951663286,0.8125,0.625
electric_guitar,0.9999994101227608,0.0,0.0,0.9979081308834439,0.625,0.75,0.9979075410062048,0.625,0.75
elephant,0.9999996440610133,0.0,0.5625,0.9985054494122303,0.71875,0.53125,0.9985054256976845,0.71875,0.59375
emu,0.9999998213083201,0.53125,0.515625,0.9981993558044743,0.703125,0.0,0.9981991914776779,0.703125,0.390625
euphonium,0.9999996440610133,0.0,0.5625,0.9979922319974825,0.671875,0.5,0.9979922104594651,0.671875,0.65625
ewer,0.9999996702909271,0.484375,0.4375,0.9978458119771249,0.796875,0.0,0.9978455200145724,0.796875,0.484375
ferry,0.9999999657729716,0.515625,0.453125,0.9982470341424449,0.796875,0.0,0.9982469531351577,0.796875,0.453125
